 Duration(s) Distance(steps)     Force(N)  Amperage(A)
      26.467       35536.000      245.790       67.780
      26.602       35736.000      181.660       68.520
      28.371       35936.000      229.760       65.250
      28.401       36136.000      224.450       65.150
      28.432       36336.000      326.260       66.480
      28.466       36536.000      305.400       66.150
      28.500       36736.000      269.680       64.080
      28.536       36936.000      220.090       65.300
      28.575       37136.000      263.150       65.090
      28.609       37336.000      254.220       63.350
      28.649       37536.000      166.390       62.710
      28.683       37736.000      213.030       64.710
      28.719       37936.000      217.450       64.170
      28.754       38136.000      193.890       62.220
      28.789       38336.000      159.160       61.360
      28.823       38536.000      168.160       63.260
      28.870       38736.000      143.500       62.950
      28.906       38936.000      230.690       61.220
      29.336       39136.000      295.910       61.030
      29.366       39336.000      337.240       61.720
      29.395       39536.000      279.010       60.430
      29.427       39736.000      202.490       59.480
      29.584       39936.000      127.930       61.050
      29.672       40136.000      132.110       60.870
      29.771       40336.000      209.090       58.370
      29.912       40536.000      195.670       58.200
      30.038       40736.000      134.190       59.780
      30.494       40936.000      158.420       59.490
      30.524       41136.000      215.060       57.700
      30.553       41336.000      173.470       57.310
      30.670       41536.000      167.390       59.080
      30.754       41736.000      123.690       57.590
      30.875       41936.000      298.430       56.870
      31.016       42136.000      197.200       58.020
      31.285       42336.000      134.240       58.060
      31.322       42536.000      187.150       55.120
      31.422       42736.000      218.820       55.310
      31.561       42936.000      192.020       57.130
      31.702       43136.000      173.820       57.070
      31.843       43336.000      194.920       54.490
      31.983       43536.000      191.270       54.110
      32.108       43736.000      197.730       55.390
      32.249       43936.000      174.820       55.340
      32.388       44136.000      146.870       53.310
      32.566       44336.000      173.310       55.030
      32.670       44536.000      184.820       54.760
      32.808       44736.000      163.820       53.170
      32.970       44936.000      171.880       52.040
      33.075       45136.000      107.080       54.200
      33.215       45336.000      165.140       53.490
      33.354       45536.000      192.940       51.700
      33.493       45736.000      199.800       50.790
      33.620       45936.000      229.960       52.840
      33.759       46136.000      179.970       52.250
      34.140       46336.000       92.400       50.790
      34.169       46536.000      164.950       51.000
      34.198       46736.000      241.540       52.060
      34.321       46936.000      270.600       50.270
      34.459       47136.000      201.710       49.910
      34.599       47336.000      197.560       51.330
      34.792       47536.000      120.830       51.170
      34.865       47736.000      154.430       48.730
      35.006       47936.000      159.030       48.490
      35.145       48136.000      104.240       49.900
      35.287       48336.000      127.690       50.430
      35.602       48536.000      176.350       47.880
      35.644       48736.000      136.000       47.970
      35.754       48936.000      109.040       48.950
      36.178       49136.000       74.150       48.490
      36.207       49336.000      148.950       46.820
      36.237       49536.000      166.050       47.810
      36.267       49736.000       84.720       48.020
      36.392       49936.000      199.330       46.240
      36.528       50136.000       95.200       45.900
      36.674       50336.000      121.480       47.770
      36.795       50536.000      146.430       47.860
      36.935       50736.000      114.940       45.100
      37.112       50936.000      200.250       44.250
      37.218       51136.000      197.490       46.090
      37.356       51336.000      160.630       46.960
      37.496       51536.000      136.920       44.000
      37.619       51736.000       83.110       45.100
      37.760       51936.000       94.540       45.540
      37.901       52136.000      184.710       44.550
